07:43:26.670 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 1 JPA repository interfaces.
07:43:27.047 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
07:43:27.053 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
07:43:27.053 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
07:43:27.053 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
07:43:27.432 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
07:43:27.432 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1163 ms
07:43:27.527 [main] INFO  o.s.b.web.servlet.RegistrationBean - Servlet CXFServlet was not registered (possibly already registered?)
07:43:27.594 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
07:43:27.622 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.8.Final
07:43:27.720 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
07:43:27.787 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
07:43:27.864 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
07:43:27.883 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
07:43:28.257 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
07:43:28.263 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
07:43:28.499 [main] INFO  o.a.c.w.s.f.ReflectionServiceFactoryBean - Creating Service {http://service.ben.com/}ValoAgentServiceImplService from class com.ben.service.ValoAgentService
07:43:28.773 [main] INFO  org.apache.cxf.endpoint.ServerImpl - Setting the server's publish address to be /valoagent-service
07:43:28.810 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
07:43:29.017 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
07:43:29.035 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
07:43:29.043 [main] INFO  c.b.SoapProviderService1Application - Started SoapProviderService1Application in 3.043 seconds (JVM running for 3.912)
07:43:39.024 [http-nio-8081-exec-1] INFO  com.ben.util.LoggingAspect - work findAllValoAgents
